Distance_(pixels);GVMalha_Controle;GVMalha_OMO;GVMalha_Vanish;GVMalha_Sabão;GVMalha_Cândida
139;19.047.333;19.357.333;18.738.000;18.737.999;20.843.111
140;19.187.334;19.180.000;18.784.000;18.817.332;20.973.778
141;19.590.666;19.194.000;18.803.334;18.887.999;21.061.111
142;19.459.334;19.102.000;18.832.001;18.980.666;21.064.444
143;19.015.334;19.164.000;18.802.000;18.937.332;20.958.444
144;19.074.667;19.296.667;18.770.000;18.856.000;20.862.445
145;19.348.666;19.460.001;18.775.999;18.814.000;20.889.111
146;19.353.999;19.477.335;18.720.667;18.819.333;20.918.445
147;19.038.000;19.337.334;18.666.667;18.825.999;20.923.778
148;19.036.000;19.123.334;18.669.333;18.863.333;20.827.777
149;19.395.334;19.164.667;18.593.333;18.860.666;20.776.445
