Pixels,Controle1,Omo1,Sabao1,Vanish1,Candida1
290,174.33,167.44,167.04,163.62,160.68
291,169.37,168.01,166.58,164.76,162.66
292,166.02,169.22,168.08,164.71,163.16
293,166.63,169.5,169.16,164.37,161.64
294,172.69,171.06,170.02,164.02,161.07
295,179.05,169.56,169.24,164.78,159.98
296,181.46,169.15,168.68,165.83,160.24
297,178.97,168.55,168.8,165.49,161.19
298,172.1,168.16,169.32,164.69,162.35
299,167.95,166.94,169.5,164.48,164.2
300,167.82,166.52,170.14,164.17,163.96
301,172.85,167.55,168.58,163.84,163.23
302,179.3,170.56,168.17,164.6,163.26
303,183.01,171.17,167.47,164.8,162
304,179.11,170.39,167.07,165.47,162.46
305,170.52,167.25,168.01,164.66,162.32
306,165.09,165.77,168.42,164.35,162.64
307,165.4,165.56,167.75,164.87,164.21
308,170.46,168.52,167.69,164.9,163.64
309,177.11,169.75,166.81,165.28,161.16
310,181.14,169.7,168.09,165.03,162.17
311,178.72,166.59,168.56,163.78,162.49
312,170.93,167.49,167.13,164.3,162.16
313,165.79,168.91,167.26,164.48,161.06
314,166.68,169.37,167.68,165.12,161.21
315,172.35,168.02,167.42,165.08,161.57
316,178.73,167.44,169.06,164.04,161.5
317,182.15,167.29,168.16,162.16,161.54
318,178.14,167.55,166.75,163.6,162.89
319,171.51,167.2,165.51,164.57,163.3
320,166.48,168.33,166.72,164.6,163.3
321,165.74,167.66,167.05,163.72,162.87
322,170.03,166.37,167.61,162.56,163.06
323,177.59,166.43,166.93,162.91,163.24
324,181.23,168.68,167.55,163.99,162.05
325,180.05,170.6,167.13,163.64,161.54
326,172.37,169.75,168.3,164.78,161.96
327,167.25,167.76,168.55,163.31,161.87
328,167.99,168,167.94,162.59,163.31
329,171.26,168.54,167.34,162.32,162.92
330,177.31,168.81,167.22,162.57,162.36
331,183.23,169.21,166.85,162.99,161.62
332,180.34,170,166.24,163.33,161
333,174.99,168.86,165.52,162.71,160.62
334,166.89,168.46,166.99,164.9,162.3
335,163.64,167.42,167.31,164.54,163.6
336,167.43,168.06,167.68,164.43,164.51
337,174.06,168.12,167.64,163.02,164.7
338,180.48,169.86,167.71,161.75,163.87
339,183.84,169.64,167.42,161.21,162.75
340,177.78,168.21,167.44,163.03,161.73
341,168.51,167.11,166.55,164.6,161.08
342,163.86,168.8,167.16,165.81,162.34
343,165.92,168.86,168.22,164.35,163.51
344,174.08,168.21,167.9,162.18,164.09
345,180.38,167.77,168.02,162.2,163.62
346,180.89,170.11,167.95,163.89,162.63
347,178.38,170.04,167.03,165.14,162.44
348,171.36,167.76,166.69,164.15,161.68
349,166.19,166.97,166.07,162.86,162.18
350,165.77,169.18,167.63,163.95,162.37
351,170.29,169.18,167.31,163.46,163.23
352,176.91,170.59,167.48,163.76,163.94
353,181.18,171.37,167.91,164.53,162.8
354,179.5,170.9,167.91,164.7,162.44
355,176.07,168.02,166.12,164.53,163.26
356,170.51,166.23,167.04,163.75,162.82
357,167.36,168.68,168.08,163.92,162.78
358,170.12,171.14,168.18,166.06,163.29
359,175.36,169.49,167.54,165.14,163.08
360,179.42,168.18,166.5,164.24,163.32
361,179.11,167.55,166.68,163.33,163.66
362,172.24,169.2,167.83,164.37,163.11
363,166.94,171.05,167.64,165.09,163.34
364,166.56,172.14,167.92,164.33,162.58
365,169.74,171.11,168.09,163.22,162.13
366,174.95,169.62,169.29,162.47,162.81
367,179.2,167.24,168.49,162.98,162.18
368,177.9,168.92,167.22,164.91,162.32
369,172.4,169.36,166.7,165.33,162.76
370,167.38,168.94,166.69,164.67,162.81
371,168.23,168.74,165.91,164.45,162.61
372,173.27,168.48,166.25,163.83,163.14
373,179.99,168.41,166.67,163.45,163.5
374,180.67,169.47,167.44,164.85,161.88
375,175.64,168.93,166.9,164.95,159.98
376,167.15,168.44,167.4,164.1,161.19
377,163.19,168.28,168.36,162.9,162.02
378,166.05,169.57,169.02,163.25,162.21
379,172.45,170.08,166.9,163.53,162.85
380,179.84,171.53,167.77,163.45,161.82
381,182.35,169.7,167.97,163.07,160.31
382,176.66,168.24,168.97,164.59,161.23
383,169.49,164.8,169.15,164.49,161.23
384,166.81,165.49,169.06,164.34,162.88
385,168.36,170.24,168.59,163.49,163.28
386,175.09,172.77,167.8,163.26,163.18
387,182.23,171.6,166.79,163.37,161.46
388,181.83,168.74,167.68,163.06,159.9
