Grupos,Valores de Cinza
Vanish1,169.73
Vanish1,167.36
Vanish1,164.72
Vanish1,164.49
Vanish1,165.83
Vanish1,165.71
Vanish1,165.13
Vanish1,164.82
Vanish1,165.92
Vanish1,165.30
Vanish1,166.26
Vanish1,166.68
Vanish1,167.39
Vanish1,167.28
Vanish1,166.32
Vanish1,165.58
Vanish1,166.58
Vanish1,167.57
Vanish1,166.79
Vanish1,165.22
Vanish1,165.00
Vanish1,166.83
Vanish1,166.44
Vanish1,165.70
Vanish1,165.79
Vanish1,164.27
Vanish1,165.30
Vanish1,165.70
Vanish1,165.48
Vanish1,164.53
Vanish1,163.86
Vanish1,164.64
Vanish1,167.25
Vanish1,167.06
Vanish1,165.41
Vanish1,164.47
Vanish1,165.08
Vanish1,164.57
Vanish1,164.68
Vanish1,165.08
Vanish1,165.67
Vanish1,165.54
Vanish1,166.96
Vanish1,166.33
Vanish1,165.58
Vanish1,164.75
Vanish1,163.43
Vanish1,162.42
Vanish1,164.71
Vanish1,164.85
Vanish1,165.27
Vanish1,164.66
Vanish1,164.93
Vanish1,164.63
Vanish1,164.64
Vanish1,164.94
Vanish1,164.53
Vanish1,165.17
Vanish1,166.28
Vanish1,164.84
Vanish1,165.15
