Grupos,Controle_2
Vanish_2,182.18
Vanish_2,181.84
Vanish_2,182.18
Vanish_2,182.68
Vanish_2,182.84
Vanish_2,182.24
Vanish_2,181.74
Vanish_2,181.76
Vanish_2,182.21
Vanish_2,181.47
Vanish_2,182.50
Vanish_2,182.98
Vanish_2,182.88
Vanish_2,182.01
Vanish_2,181.81
Vanish_2,181.68
Vanish_2,182.76
Vanish_2,182.88
Vanish_2,182.55
Vanish_2,183.35
Vanish_2,183.43
Vanish_2,182.79
Vanish_2,182.35
Vanish_2,181.59
Vanish_2,181.46
Vanish_2,181.26
Vanish_2,181.33
Vanish_2,181.46
Vanish_2,181.97
Vanish_2,182.31
Vanish_2,182.78
Vanish_2,182.63
Vanish_2,183.40
Vanish_2,183.75
Vanish_2,183.68
Vanish_2,184.41
Vanish_2,183.29
Vanish_2,183.39
Vanish_2,182.91
Vanish_2,182.60
Vanish_2,183.95
Vanish_2,182.96
Vanish_2,183.90
Vanish_2,183.40
Vanish_2,183.29
Vanish_2,183.54
Vanish_2,183.35
Vanish_2,183.00
Vanish_2,184.60
Vanish_2,184.37
Vanish_2,184.90
Vanish_2,184.26
Vanish_2,183.50
Vanish_2,183.36
Vanish_2,182.51
Vanish_2,182.51
Vanish_2,184.28
Vanish_2,184.19
Vanish_2,184.67
Vanish_2,184.35
Vanish_2,184.09
Vanish_2,184.13
Vanish_2,184.27
Vanish_2,183.48
Vanish_2,184.24
Vanish_2,184.06
Vanish_2,185.06
Vanish_2,184.97
Vanish_2,184.07
Vanish_2,183.19
Vanish_2,182.23
Vanish_2,182.21
Vanish_2,183.99
Vanish_2,183.51
Vanish_2,184.03
Vanish_2,184.61
Vanish_2,184.90
Vanish_2,184.22
Vanish_2,183.56
Vanish_2,183.11
Vanish_2,183.21
Vanish_2,182.55
Vanish_2,183.06
Vanish_2,184.41
Vanish_2,184.35
Vanish_2,184.75
Vanish_2,184.73
Vanish_2,184.22
Vanish_2,184.94
Vanish_2,184.37
Vanish_2,186.03
Vanish_2,185.65
Vanish_2,185.33
Vanish_2,185.64
Vanish_2,184.96
Vanish_2,184.29
Vanish_2,184.02
Vanish_2,183.49
Vanish_2,184.51
Vanish_2,185.45
Vanish_2,185.41
Vanish_2,186.04
Vanish_2,185.69
Vanish_2,184.79
Vanish_2,184.60
Vanish_2,184.37
Vanish_2,184.63
Vanish_2,185.15
Vanish_2,184.84
Vanish_2,184.50
Vanish_2,184.04
Vanish_2,184.05
Vanish_2,185.01
Vanish_2,184.68
Vanish_2,183.90
Vanish_2,184.46
Vanish_2,184.63
Vanish_2,185.00
Vanish_2,184.97
Vanish_2,185.10
Vanish_2,185.22
Vanish_2,184.97
Vanish_2,186.29
Vanish_2,187.07
Vanish_2,187.73
Vanish_2,187.57
Vanish_2,187.07
Vanish_2,186.39
Vanish_2,186.07
Vanish_2,186.34
Vanish_2,186.59
Vanish_2,187.14
Vanish_2,187.12
Vanish_2,187.10
